"Symbol","Date","Open","High","Low","Close","Percent Change","Volume","Turn Over"
"FINANCE","2026-03-30","2561.86","2576.27","2499.66","2512.15","-2.00 %","225,810,191.00","-"
"FINANCE","2026-03-29","2654.21","2655.04","2550.04","2563.43","-3.37 %","329,912,492.30","-"
"FINANCE","2026-03-26","2657.62","2657.62","2627.47","2652.93","0.17 %","220,500,026.20","-"
"FINANCE","2026-03-25","2701.96","2718.97","2641.28","2648.4","-2.10 %","415,780,210.60","-"
"FINANCE","2026-03-24","2688.65","2705.17","2666.56","2705.17","0.51 %","531,812,206.10","-"
"FINANCE","2026-03-23","2693.64","2713.72","2647.7","2691.39","0.21 %","504,626,775.70","-"
"FINANCE","2026-03-22","2630.68","2693.61","2630.67","2685.83","2.14 %","817,929,790.10","-"
"FINANCE","2026-03-19","2570.78","2629.57","2570.77","2629.57","1.94 %","425,794,488.50","-"
"FINANCE","2026-03-17","2572.06","2588.74","2555.78","2579.52","-0.19 %","266,359,228.00","-"
"FINANCE","2026-03-16","2593.98","2630.99","2572.92","2584.5","-0.72 %","495,145,952.70","-"
"FINANCE","2026-03-15","2594.46","2619.95","2587.15","2603.2","0.23 %","450,142,434.80","-"
"FINANCE","2026-03-12","2556.58","2605.25","2549.57","2597.18","1.30 %","437,539,578.50","-"
"FINANCE","2026-03-11","2605.48","2634.82","2558.74","2563.78","-2.08 %","323,265,605.10","-"
"FINANCE","2026-03-10","2708.83","2710.49","2598.35","2618.28","-2.06 %","709,630,573.60","-"
"FINANCE","2026-03-09","2557.24","2686.43","2557.23","2673.42","5.47 %","11,908,047.00","-"
"FINANCE","2026-03-03","2492.23","2542.27","2492.22","2534.72","1.43 %","350,990,076.10","-"
"FINANCE","2026-03-01","2432.53","2503.24","2411.22","2498.9","2.23 %","454,901,495.00","-"
"FINANCE","2026-02-26","2418.5","2444.46","2412.5","2444.4","0.72 %","187,131,787.00","-"
"FINANCE","2026-02-25","2436.88","2444.79","2419.79","2426.97","-0.28 %","147,681,990.70","-"
"FINANCE","2026-02-24","2411.49","2437.77","2410.61","2433.79","0.64 %","132,685,392.40","-"
"FINANCE","2026-02-23","2403.17","2428.37","2403.17","2418.25","0.56 %","208,263,566.30","-"
"FINANCE","2026-02-22","2422.57","2425.48","2392.32","2404.68","-0.56 %","249,187,348.20","-"
