"Symbol","Date","Open","High","Low","Close","Percent Change","Volume","Turn Over"
"HOTELS","2026-03-30","7587.33","7646.95","7486.3","7497.48","-1.18 %","152,924,787.80","-"
"HOTELS","2026-03-29","7762.84","7767.46","7565.18","7587.32","-2.24 %","179,638,232.00","-"
"HOTELS","2026-03-26","7692.83","7780.41","7657.53","7761.14","0.81 %","187,545,750.10","-"
"HOTELS","2026-03-25","7726.43","7758.99","7665.35","7698.78","-0.06 %","197,496,915.40","-"
"HOTELS","2026-03-24","7714.13","7774.22","7664.94","7703.22","-0.17 %","136,857,860.60","-"
"HOTELS","2026-03-23","7785.32","7827.9","7671.47","7716.03","-0.87 %","195,044,587.40","-"
"HOTELS","2026-03-22","7556.02","7806.17","7544.39","7783.72","3.06 %","299,346,764.40","-"
"HOTELS","2026-03-19","7434.7","7591.55","7420.66","7552.91","1.76 %","257,917,001.90","-"
"HOTELS","2026-03-17","7441.07","7483.68","7380.96","7422.45","-0.18 %","108,672,211.80","-"
"HOTELS","2026-03-16","7450.1","7519.82","7385.06","7435.64","-0.26 %","108,901,064.50","-"
"HOTELS","2026-03-15","7506.23","7552.19","7438.15","7455.03","-0.62 %","175,604,285.10","-"
"HOTELS","2026-03-12","7506.23","7598.16","7474.33","7501.65","-0.36 %","151,675,179.20","-"
"HOTELS","2026-03-11","7742.77","7742.77","7502.89","7528.43","-1.57 %","137,451,593.70","-"
"HOTELS","2026-03-10","7865.64","7865.64","7555.76","7648.23","-1.86 %","406,743,161.50","-"
"HOTELS","2026-03-09","7495.06","7795.94","7495.05","7793.07","5.74 %","10,086,731.30","-"
"HOTELS","2026-03-03","7242.81","7380.44","7229.3","7370.15","1.61 %","100,261,699.20","-"
"HOTELS","2026-03-01","7196.36","7260.7","7153.66","7253.52","0.41 %","87,869,469.70","-"
"HOTELS","2026-02-26","7236.1","7246.71","7180.73","7223.84","-0.17 %","76,476,722.20","-"
"HOTELS","2026-02-25","7229.13","7271.92","7183.2","7236.1","0.47 %","126,371,663.60","-"
"HOTELS","2026-02-24","7034.12","7201.95","7034.12","7201.95","2.07 %","104,199,248.70","-"
"HOTELS","2026-02-23","7080.86","7108.99","7036.81","7055.69","-0.36 %","98,625,066.20","-"
"HOTELS","2026-02-22","7185.52","7190.36","7065","7080.86","-1.10 %","109,239,615.90","-"
"HOTELS","2026-02-17","7240.27","7282.87","7155.22","7159.34","-1.20 %","148,442,827.50","-"
"HOTELS","2026-02-16","7214.46","7323.73","7214.45","7246.09","0.44 %","121,048,694.30","-"
