"Symbol","Date","Open","High","Low","Close","Percent Change","Volume","Turn Over"
"INVESTMENT","2026-03-30","109.82","110.44","107.98","108.08","-1.59 %","739,324,775.70","-"
"INVESTMENT","2026-03-29","113.22","113.45","109.79","109.83","-2.99 %","759,566,841.20","-"
"INVESTMENT","2026-03-26","113.25","113.27","111.6","113.21","0.51 %","1,323,562,750.00","-"
"INVESTMENT","2026-03-25","113.17","114.26","112.39","112.63","-0.54 %","1,034,589,284.80","-"
"INVESTMENT","2026-03-24","113.19","114.05","112.42","113.24","0.11 %","661,242,028.80","-"
"INVESTMENT","2026-03-23","112.61","113.15","111.33","113.11","0.73 %","920,373,849.20","-"
"INVESTMENT","2026-03-22","111.9","112.9","111.42","112.29","0.77 %","720,745,107.60","-"
"INVESTMENT","2026-03-19","109.26","111.61","109.21","111.43","1.77 %","1,064,956,663.20","-"
"INVESTMENT","2026-03-17","109.36","109.49","107.9","109.49","0.62 %","332,069,700.50","-"
"INVESTMENT","2026-03-16","110.92","110.92","108.37","108.82","-1.53 %","400,034,097.50","-"
"INVESTMENT","2026-03-15","111.22","112","110.24","110.51","-0.54 %","409,161,321.80","-"
"INVESTMENT","2026-03-12","109.83","111.99","108.76","111.11","1.14 %","593,892,074.10","-"
"INVESTMENT","2026-03-11","111.58","112.75","109.76","109.86","-1.88 %","565,216,949.10","-"
"INVESTMENT","2026-03-10","115.3","115.3","108.54","111.96","-1.59 %","987,216,619.70","-"
"INVESTMENT","2026-03-09","108.35","113.8","108.35","113.77","7.07 %","15,547,191.50","-"
"INVESTMENT","2026-03-03","104.72","106.26","104.3","106.26","1.53 %","176,235,581.30","-"
"INVESTMENT","2026-03-01","104.48","104.7","102.61","104.66","0.59 %","183,143,763.10","-"
"INVESTMENT","2026-02-26","104.44","104.52","103.62","104.05","0.36 %","131,346,917.80","-"
"INVESTMENT","2026-02-25","103","104","102.99","103.68","0.33 %","139,249,793.20","-"
"INVESTMENT","2026-02-24","102.45","103.58","102.44","103.34","0.61 %","164,204,848.50","-"
"INVESTMENT","2026-02-23","101.82","103.1","101.81","102.71","0.37 %","278,639,714.10","-"
"INVESTMENT","2026-02-22","103.47","103.53","102.2","102.33","-0.94 %","333,699,180.20","-"
"INVESTMENT","2026-02-17","104.01","104.27","103.23","103.3","-0.49 %","565,359,056.80","-"
"INVESTMENT","2026-02-16","104.61","105.21","103.76","103.81","-0.61 %","268,049,488.50","-"
"INVESTMENT","2026-02-12","103.96","105.04","103.71","104.45","0.64 %","345,499,491.40","-"
"INVESTMENT","2026-02-11","104","104.8","103.44","103.79","0.07 %","284,726,143.30","-"
