"Symbol","Date","Open","High","Low","Close","Percent Change","Volume","Turn Over"
"LIFEINSU","2026-03-30","13361.84","13361.84","13103.62","13113.53","-1.40 %","307,294,606.90","-"
"LIFEINSU","2026-03-29","13675.51","13675.51","13288.04","13299.8","-2.21 %","423,108,228.00","-"
"LIFEINSU","2026-03-26","13605.94","13628.2","13478.95","13600.3","-0.04 %","297,984,372.80","-"
"LIFEINSU","2026-03-25","13842.93","13842.93","13546.23","13605.93","-1.40 %","437,785,971.10","-"
"LIFEINSU","2026-03-24","13850.53","13877.2","13701.22","13798.66","-0.37 %","371,949,868.30","-"
"LIFEINSU","2026-03-23","13971.29","13998.19","13738.2","13850.53","-0.47 %","480,639,532.00","-"
"LIFEINSU","2026-03-22","13672.76","13986.45","13656.21","13916.15","2.00 %","927,919,434.90","-"
"LIFEINSU","2026-03-19","13296.92","13653.56","13289.5","13643.08","2.77 %","617,684,011.80","-"
"LIFEINSU","2026-03-17","13333.65","13333.65","13200.66","13275.78","-0.32 %","193,735,700.40","-"
"LIFEINSU","2026-03-16","13521.85","13535.04","13255.71","13318.34","-0.95 %","248,418,430.00","-"
"LIFEINSU","2026-03-15","13540.61","13559.92","13387.79","13446.03","-0.46 %","298,988,768.80","-"
"LIFEINSU","2026-03-12","13458.64","13531.51","13365.42","13508.36","0.37 %","280,795,899.00","-"
"LIFEINSU","2026-03-11","13851.92","13854.6","13428.17","13458.63","-1.98 %","322,332,556.20","-"
"LIFEINSU","2026-03-10","13825.81","13859.97","13372.96","13730.91","0.52 %","902,042,982.00","-"
"LIFEINSU","2026-03-09","13265.79","13660.71","13265.78","13660.44","4.68 %","19,852,830.30","-"
"LIFEINSU","2026-03-03","13035.63","13050.12","12823.92","13050.12","1.05 %","187,462,445.40","-"
"LIFEINSU","2026-03-01","12821.48","12914.08","12622.18","12914.08","0.60 %","173,815,478.80","-"
"LIFEINSU","2026-02-26","12917.48","12917.48","12737.97","12837.31","0.04 %","103,168,772.40","-"
"LIFEINSU","2026-02-25","12600.09","12858.48","12574.16","12832.74","1.79 %","208,608,825.80","-"
"LIFEINSU","2026-02-24","12533.14","12607.91","12449.14","12606.93","0.71 %","126,239,096.30","-"
"LIFEINSU","2026-02-23","12524.25","12548.16","12453.02","12518.07","0.07 %","128,044,570.80","-"
"LIFEINSU","2026-02-22","12616.85","12616.85","12466.08","12509.01","-0.73 %","167,586,588.20","-"
"LIFEINSU","2026-02-17","12700.76","12712.61","12525.64","12601.61","-0.78 %","260,034,665.80","-"
"LIFEINSU","2026-02-16","12776.21","12786.1","12670.55","12701.08","-0.46 %","151,075,356.50","-"
"LIFEINSU","2026-02-12","12697.54","12763.93","12645.36","12759.14","0.50 %","208,457,571.10","-"
"LIFEINSU","2026-02-11","12858.96","12913.9","12664.78","12695.91","-0.23 %","295,034,128.90","-"
"LIFEINSU","2026-02-10","12815.04","12852.22","12712.47","12725.23","-0.77 %","233,838,531.10","-"
"LIFEINSU","2026-02-09","12949.1","12958.64","12796.24","12823.67","-0.97 %","250,360,838.00","-"
"LIFEINSU","2026-02-08","13034.19","13117.09","12935.06","12949.09","-0.71 %","265,546,905.20","-"
"LIFEINSU","2026-02-05","12912.9","13045.02","12857.44","13042.24","1.12 %","280,675,914.90","-"
